gene,C1,C1_logFC,C1_FDR,C2,C2_logFC,C2_FDR,C3,C3_logFC,C3_FDR,module
ADM,NS,-0.422106650955234,0.204554540587668,NS,0.13807911288162,0.894501100025352,UP,2.14021455713878,0.0005928408357644,C3 SPECIFIC
ADORA3,UP,1.61885614018244,0.0126914062791556,NS,-0.740779150441279,0.603223502102136,NS,1.17687568803707,0.160890364791196,C1 SPECIFIC
ADRA2A,UP,2.20827115585956,0.0005702883875096,NS,0.594777440688672,0.631399729730854,UP,2.03898295535863,0.0110045834225656,SHARED C1 & C3
ADRB1,DOWN,-1.91835390923979,0.0013109709613737,NS,1.13353488646508,0.305411214511982,NS,-0.280342921830266,0.713638444741934,DOWN IN LIMBUS
ADRB2,DOWN,-1.30487798710995,0.0002907178675311,NS,0.117419451828518,0.891536441084594,NS,0.240698586845353,0.546901546242637,DOWN IN LIMBUS
ADTRP,DOWN,-1.00910074661393,0.0056391539373609,NS,-0.280571616581178,0.73813606177172,DOWN,-1.34187853052278,0.0092983016446197,DOWN IN LIMBUS
AEBP1,UP,3.18613307388188,1.35089463043476e-06,NS,1.24082375763422,0.124097136629699,UP,2.71354858382843,0.0002475131197956,SHARED C1 & C3
AFAP1,UP,1.07856831844296,0.0090061386628782,NS,0.323110499943245,0.739953192617452,NS,0.149946601122392,0.804611735577332,C1 SPECIFIC
AFAP1L1,UP,1.82339762564716,0.0001397565727573,NS,-0.167209611920287,0.875869064584778,NS,0.707624592757715,0.150579452986601,C1 SPECIFIC
AFAP1L2,NS,-0.726862583689682,0.0356494527158394,NS,0.401439684906196,0.613436927460312,DOWN,-1.63211965824269,0.0033132955277858,DOWN IN LIMBUS
AFDN,DOWN,-1.19591771181774,0.00024601000197,NS,-0.375391713876726,0.518605027897252,NS,-0.626861871277511,0.0759224526601923,DOWN IN LIMBUS
AFF3,UP,1.89167626365776,0.0014729806045863,NS,0.238834196137053,0.875235061519259,UP,1.56694201994965,0.0347344460205409,SHARED C1 & C3
AGL,DOWN,-1.54476492542594,2.01291482194192e-06,NS,0.626525471898212,0.125092920462849,NS,0.287546303351572,0.266463897221712,DOWN IN LIMBUS
AGPAT4,UP,1.0735095603766,0.0001034885867435,NS,0.0497164648247166,0.941423520829239,NS,-0.363008406266765,0.190294113171976,C1 SPECIFIC
AGR2,DOWN,-2.68037157017611,8.20669092366623e-05,NS,-1.75590314484292,0.101768839391531,DOWN,-1.75135574372135,0.018921568272443,DOWN IN LIMBUS
AGR3,NS,-0.251162852564239,0.539633459548067,DOWN,-1.87338340728165,0.0324308892980941,NS,-0.304872687422152,0.598928533454263,DOWN IN LIMBUS
AGRN,NS,-0.572258310588598,0.021754088529082,NS,-0.423945538883979,0.429245734733461,DOWN,-1.12204342505925,0.0039239746414247,DOWN IN LIMBUS
AGTR1,UP,1.70590069368214,6.55868085205204e-05,NS,0.25254886491654,0.747057900802467,UP,1.32724416978522,0.0061853811888016,SHARED C1 & C3
AHNAK2,NS,-0.390028244272807,0.0699093618994536,UP,1.11244570104968,0.0170288012108974,NS,-0.774480512324084,0.0169820695642913,C2 SPECIFIC
AHRR,UP,1.27072046936167,0.0011512537088989,NS,0.181025088167943,0.849878156889443,UP,1.09228804907367,0.0256389815060859,SHARED C1 & C3
AIF1,UP,1.74242178705409,0.0009539352040037,NS,-0.270724945971025,0.826041486390387,NS,1.23473848140544,0.0500143757887541,C1 SPECIFIC
AIF1L,UP,1.56987223204025,0.0006389588556312,NS,-0.0312535569894266,0.982797376498017,NS,0.678304026949797,0.18427692032498,C1 SPECIFIC
AK7,DOWN,-1.09784042776564,0.000947093834302,NS,-0.397101108914277,0.538520921556579,NS,-0.524397039228852,0.166782026641558,DOWN IN LIMBUS
AK9,DOWN,-1.00790056335749,0.0004550949990331,NS,-0.469792626055976,0.356647257184449,NS,-0.657302743997087,0.0472260659676159,DOWN IN LIMBUS
AKAP12,UP,2.69646618395404,7.88849131464769e-06,NS,-0.254562305150249,0.810487081351665,NS,0.75198205212965,0.154755048198471,C1 SPECIFIC
AKR1C3,UP,2.24286104267636,2.404249184463e-05,NS,-0.129570252221976,0.909665573407515,NS,0.865184994733124,0.0854673217322291,C1 SPECIFIC
