contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C1,Limbus vs cornea,DUX1,-3.6152251691034296,3.0008668020378384e-4,39,5.783127413198748e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,DUX3,-3.6152251691034296,3.0008668020378384e-4,39,5.783127413198748e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,PITX2,3.602683352265642,3.1494909774946203e-4,12,6.029617595071937e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF628,-3.5976755597247525,3.210737720191034e-4,17,6.106697232520201e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,SMAD9,3.575986208446005,3.4891004642048515e-4,78,6.59304048755592e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,CREM,-3.5702010666329325,3.5670732005243285e-4,11,6.696892266790836e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,AHRR,3.549692283608665,3.8568168759710276e-4,95,7.150145934192241e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,FOXF2,3.549636177523998,3.857638871711965e-4,155,7.150145934192241e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF814,-3.545875917497535,3.9131041645121815e-4,38,7.207046277677499e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,HMBOX1,3.5436760597286274,3.9458975113480435e-4,14,7.221736954731325e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,MTF2,-3.525417120695842,4.2281645685762255e-4,18,7.68997430909801e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,RUNX3,3.4861198127717268,4.900814532164407e-4,110,8.829725454314719e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF85,-3.485318414458142,4.915517263226751e-4,28,8.829725454314719e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,CSRNP3,-3.470228210716298,5.200163305930558e-4,22,9.283727128992592e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF57,-3.4613011044616613,5.37571183912368e-4,127,9.538610641371896e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZBTB9,-3.4381781371506603,5.856422955601684e-4,91,0.0010328600485333878,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF703,3.4314301965398673,6.004076267273217e-4,349,0.001052521803479823,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,HOXD8,3.4289995061711753,6.058106298503955e-4,284,0.001055634091535719,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,KLF8,-3.423454586198005,6.183058225509067e-4,103,0.001070994014061392,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,KLF2,3.4103069731063,6.48897986883128e-4,145,0.0011173332200176938,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,MECOM,3.402676185185019,6.672931603909335e-4,158,0.001142248880433892,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,FOXL2,3.3841785354727123,7.139156433092661e-4,106,0.0012149090772105055,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,CEBPA,-3.378520317959762,7.287704691833837e-4,19,0.0012329779449556082,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TFDP1,-3.3603973033634436,7.783045989677996e-4,46,0.001307043176945422,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,IRX5,3.359254357685502,7.815309717817988e-4,303,0.001307043176945422,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,PRDM16,3.3530718045031045,7.991996995129907e-4,40,0.0013289549289044588,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TAL1,3.3266769131880287,8.788821042312171e-4,323,0.0014531516609732054,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ATOH8,3.317420845484442,9.085265469463183e-4,15,0.0014936792381998792,Activated in limbus,NES = regulon activity; not transcript abundance
